,eq,60N,60S
1980-08-20,-16.259350825942807,-2.135783106480208,76.75934595359337
1980-08-21,-15.931981229932424,-1.7696338919482413,76.94517821143877
1980-08-22,-16.31176299757345,-1.3421613273621604,77.563514801447
1980-08-23,-16.20174931107033,-1.9341676870143443,76.31649867822794
1980-08-24,-16.339579886717992,-1.6469303798370256,77.30802694844023
1980-08-25,-16.770378022881047,-0.9173660533430347,76.7285690577487
1980-08-26,-16.80252198270255,-0.36211840208269236,75.00504906673729
1980-08-27,-16.89120768474973,0.9057416569591898,74.43877087644964
1980-08-28,-16.801727811886163,0.7103943390815497,74.71094548120507
1980-08-29,-16.87337070634911,2.008322679492863,74.51035818708506
1980-08-30,-17.10335734925522,2.3014448383569284,73.60416189284918
1980-08-31,-17.652951486039203,2.5302438121740893,73.27940711903423
1980-09-01,-17.687457304630072,3.068313188040029,74.3907740906701
1980-09-02,-17.650845142719028,3.475770343675396,75.1742164529151
1980-09-03,-17.999400475255225,4.415477615309038,75.88609481102493
1980-09-04,-17.603520116647488,4.526630774349263,74.54615631519138
1980-09-05,-18.070206839704618,5.303130389548629,75.22678402748367
1980-09-06,-17.633643776644075,5.762458126375052,76.85203607389575
1980-09-07,-17.496863823856238,6.395927067629432,76.76901086533556
1980-09-08,-17.503858148237136,7.169632547296918,77.88093307448605
1980-09-09,-17.297277562701034,6.9977352126258365,79.37485960947103
1980-09-10,-17.053393924775637,7.753077253563575,79.23312086520184
1980-09-11,-17.167858772111963,8.742476576532493,79.07844473773443
1980-09-12,-16.858867237763693,8.545276497362261,76.14192497313208
1980-09-13,-17.13635940730814,8.07435107792824,75.03270232378877
1980-09-14,-17.11260907803031,8.526093859103081,74.60345070863157
1980-09-15,-17.05829029721854,9.012541750184296,75.24766596988005
1980-09-16,-17.15639438918541,9.855906455635596,75.25732212809797
1980-09-17,-17.23246223266465,10.054079294192205,75.38248908278699
1980-09-18,-17.800980970302987,9.21747482133291,73.5636634800081
1980-09-19,-17.25366944004575,10.056859823206535,71.12665211982112
